ID,X,Y,Z,formation,azimuth,dip,polarity,fault,overturned,erosion,source,type,use,depth
S-257,585195,5246810,1744,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-258,586369,5246440,1491,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-259,584544,5245350,1838,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-260,585330,5245510,1720,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-261,585615,5245110,1610,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-262,585869,5244810,1516,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-263,584845,5245830,1819,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-264,585226,5246070,1695,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-265,585869,5245480,1571,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-266,586441,5245000,1382,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-267,586528,5245360,1355,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-268,585361,5247450,1935,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-269,586012,5247150,1732,Garschella,0,0,1,n,n,1,Goldscheider,interface,y,0
S-270,584583,5246300,1811,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-271,586647,5247120,1648,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-272,587346,5246030,1254,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-273,586942,5246520,1452,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-274,587577,5246460,1336,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-275,587704,5247080,1289,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-276,588093,5246090,1194,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-277,587783,5245740,1153,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-278,587013,5246970,1515,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-279,585851,5246760,1619,Garschella,0,0,1,n,n,1,Goldscheider 1997,interface,y,0
S-280,585038,5243411,1288,Garschella,0,0,1,n,n,5,Sinreich 1998,interface,y,0
S-281,587558,5245030,1115,Garschella,0,0,1,n,n,25,Goldscheider 1997,interface,y,0
S-282,588242,5245650,1085,Garschella,0,0,1,n,n,73,Goldscheider 1997,interface,y,0
S-283,588946,5246730,1030,Garschella,0,0,1,n,n,15,Goldscheider 1997,interface,y,0
SD-001,583844,5247070,1833,Garschella,330,11,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-002,584924,5248070,1744,Garschella,310,88,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-003,585159,5248300,1758,Garschella,120,26,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-004,585517,5248080,1651,Garschella,110,32,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-005,585960,5247830,1617,Garschella,290,69,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-006,586562,5245620,1343,Garschella,1,17,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-007,587087,5244620,1201,Garschella,75,36,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-008,588186,5247210,1174,Garschella,80,25,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-009,588357,5246290,1053,Garschella,340,38,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-010,584183,5247940,1800,Kieselkalk,295,30,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-011,583470,5245640,1996,Schrattenkalk,330,21,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-012,583584,5245910,1943,Schrattenkalk,335,10,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-013,583831,5246860,1850,Schrattenkalk,310,28,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-014,584173,5245190,1832,Schrattenkalk,290,44,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-015,584342,5247460,1940,Schrattenkalk,95,13,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-016,584649,5245040,1705,Schrattenkalk,335,40,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-017,584994,5246420,1640,Schrattenkalk,310,41,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-018,585080,5244810,1627,Schrattenkalk,325,36,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-019,585200,5246410,1622,Schrattenkalk,10,18,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-020,585419,5244900,1558,Schrattenkalk,80,20,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-021,585528,5246310,1587,Schrattenkalk,1,24,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-022,585789,5244360,1361,Schrattenkalk,30,16,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-023,585980,5243590,1272,Schrattenkalk,340,26,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-024,586006,5243950,1264,Schrattenkalk,70,25,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-025,586059,5244360,1272,Schrattenkalk,105,20,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-026,586095,5244670,1449,Schrattenkalk,345,20,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-027,586367,5244360,1245,Schrattenkalk,20,15,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-028,586377,5247780,1590,Schrattenkalk,290,47,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-029,586390,5247990,1526,Schrattenkalk,130,31,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-030,586523,5244020,1251,Schrattenkalk,50,30,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-031,586542,5244420,1217,Schrattenkalk,325,25,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-032,586588,5247810,1530,Schrattenkalk,315,43,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-033,586837,5246230,1369,Schrattenkalk,75,17,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-034,586878,5244200,1237,Schrattenkalk,25,35,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-035,587046,5244310,1251,Schrattenkalk,310,61,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-036,587206,5247570,1364,Schrattenkalk,20,10,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-037,587217,5247390,1408,Schrattenkalk,320,40,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-038,587263,5244770,1181,Schrattenkalk,80,22,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-039,587269,5246280,1352,Schrattenkalk,40,22,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-040,587285,5245480,1145,Schrattenkalk,30,18,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-041,587375,5246840,1425,Schrattenkalk,5,21,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-042,587598,5247450,1247,Schrattenkalk,90,20,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-043,587666,5245060,1125,Schrattenkalk,5,22,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-044,588578,5245840,1057,Schrattenkalk,335,24,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-045,590054,5246650,978,Garschella,50,21,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-046,590115,5246790,972,Garschella,10,25,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-047,584145,5244910,1842,Drusberg,20,14,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-048,587349,5244920,1135,Schrattenkalk,45,15,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-049,587461,5244960,1142,Schrattenkalk,3,28,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-050,585195,5244650,1572,Schrattenkalk,340,25,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-051,584771,5244790,1730,Schrattenkalk,355,30,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-052,584177,5245050,1863,Schrattenkalk,300,57,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-053,583534,5245360,2015,Schrattenkalk,359,22,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-054,588402,5245480,1092,Schrattenkalk,75,22,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-055,588503,5245650,1089,Schrattenkalk,65,14,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-056,588280,5246450,1084,Amdener,340,50,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-057,588328,5246510,1091,Amdener,90,40,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-058,588988,5246540,1020,Amdener,120,55,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-059,589356,5246600,993,Amdener,85,32,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-060,589868,5246550,1002,Amdener,90,33,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-061,589000,5246830,1086,Schrattenkalk,110,24,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-062,584816,5248000,1806,Schrattenkalk,295,105,1,n,y,0,Goldscheider 1997,orientation,y,0
SD-063,585133,5248060,1817,Schrattenkalk,295,103,1,n,y,0,Goldscheider 1997,orientation,y,0
SD-064,585522,5247930,1727,Schrattenkalk,310,96,1,n,y,0,Goldscheider 1997,orientation,y,0
SD-065,585767,5246180,1536,Garschella,340,22,1,n,n,0,Goldscheider 1997,orientation,y,0
SD-066,578594,5248520,991,Schrattenkalk,275,22,1,n,n,0,Huth 1998,orientation,y,0
